Source Name,Source Address,Destination Name,Destination Address,Distance (meters),Duration (seconds)
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",977,730
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Hanley House,"225 West 10th Avenue, Columbus, OH 43210",443,336
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",986,743
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Houck House,"61 West Lane Avenue, Columbus, OH 43210",1305,976
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",1263,943
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",1200,896
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",1457,1070
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",616,440
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",149,115
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",903,673
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",888,635
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",368,281
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",392,296
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Norton House,"2114 Neil Avenue, Columbus, OH 43210",949,706
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",958,722
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",532,397
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",274,209
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",739,549
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",431,327
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",1256,939
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",463,350
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",415,316
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",935,697
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",403,307
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",646,480
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",1335,999
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",416,315
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Torres House,"187 W. Lane Avenue, Columbus, OH 43210",1112,824
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",497,374
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Archer House,"2130 Neil Avenue, Columbus, OH 43210",1134,843
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",103,76
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",151,112
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",827,629
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",867,657
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Bowen House,"2125 N. High Street, Columbus, OH 43210",966,747
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",376,284
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Busch House,"2115 N. High Street, Columbus, OH 43210",863,670
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",506,381
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",1125,838
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Fechko House,"220 West 11th Avenue, Columbus, OH 43210",472,356
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",German House,"141 West 11th Avenue, Columbus, OH 43210",351,265
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",731,558
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Hanley House,"225 West 10th Avenue, Columbus, OH 43210",582,439
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",797,603
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Houck House,"61 West Lane Avenue, Columbus, OH 43210",1026,774
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",1077,806
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",1099,826
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",1658,1226
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",1094,787
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",607,451
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",913,687
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",1288,962
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",439,331
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",761,567
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Norton House,"2114 Neil Avenue, Columbus, OH 43210",958,720
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",857,651
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",391,293
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",290,219
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",1052,790
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",595,447
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",1010,767
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",563,425
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",670,505
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",945,710
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",425,321
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",298,228
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",1038,786
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",610,458
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Torres House,"187 W. Lane Avenue, Columbus, OH 43210",1175,876
Union Market,"Ohio Union, Ohio State University, Columbus, OH 43210",Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",529,401
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Archer House,"2130 Neil Avenue, Columbus, OH 43210",1134,843
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",103,76
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",151,112
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",827,629
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",867,657
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Bowen House,"2125 N. High Street, Columbus, OH 43210",966,747
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",376,284
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Busch House,"2115 N. High Street, Columbus, OH 43210",863,670
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",506,381
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",1125,838
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Fechko House,"220 West 11th Avenue, Columbus, OH 43210",472,356
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",German House,"141 West 11th Avenue, Columbus, OH 43210",351,265
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",731,558
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Hanley House,"225 West 10th Avenue, Columbus, OH 43210",582,439
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",797,603
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Houck House,"61 West Lane Avenue, Columbus, OH 43210",1026,774
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",1077,806
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",1099,826
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",1658,1226
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",1094,787
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",607,451
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",913,687
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",1288,962
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",439,331
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",761,567
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Norton House,"2114 Neil Avenue, Columbus, OH 43210",958,720
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",857,651
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",391,293
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",290,219
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",1052,790
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",595,447
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",1010,767
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",563,425
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",670,505
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",945,710
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",425,321
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",298,228
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",1038,786
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",610,458
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Torres House,"187 W. Lane Avenue, Columbus, OH 43210",1175,876
Woody's Tavern,"Ohio Union, Ohio State University, Columbus, OH 43211",Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",529,401
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Archer House,"2130 Neil Avenue, Columbus, OH 43210",1423,1042
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",698,501
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",610,438
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",1465,1081
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",1360,1006
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Bowen House,"2125 N. High Street, Columbus, OH 43210",1661,1230
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",475,349
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Busch House,"2115 N. High Street, Columbus, OH 43210",1559,1153
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",282,208
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",1437,1053
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Fechko House,"220 West 11th Avenue, Columbus, OH 43210",315,233
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",German House,"141 West 11th Avenue, Columbus, OH 43210",476,349
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",1369,1009
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Hanley House,"225 West 10th Avenue, Columbus, OH 43210",178,133
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",1378,1022
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Houck House,"61 West Lane Avenue, Columbus, OH 43210",1697,1255
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",1655,1222
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",1592,1175
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",1849,1349
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",979,699
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",243,174
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",1295,952
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",1251,894
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",362,268
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",0,0
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Norton House,"2114 Neil Avenue, Columbus, OH 43210",1341,985
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",1350,1001
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",527,386
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",560,410
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",347,253
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",166,124
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",1647,1218
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",198,147
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",150,113
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",1327,975
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",397,294
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",642,469
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",1726,1278
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",151,112
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Torres House,"187 W. Lane Avenue, Columbus, OH 43210",1504,1103
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",232,171
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Archer House,"2130 Neil Avenue, Columbus, OH 43210",461,323
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",821,600
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",839,613
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",117,87
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",210,148
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Bowen House,"2125 N. High Street, Columbus, OH 43210",342,257
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",915,677
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Busch House,"2115 N. High Street, Columbus, OH 43210",236,179
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",1133,839
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",447,313
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Fechko House,"220 West 11th Avenue, Columbus, OH 43210",1100,814
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",German House,"141 West 11th Avenue, Columbus, OH 43210",979,724
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",21,16
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Hanley House,"225 West 10th Avenue, Columbus, OH 43210",1210,897
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",79,56
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Houck House,"61 West Lane Avenue, Columbus, OH 43210",315,232
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",366,264
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",382,273
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",979,700
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",1349,970
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",1113,819
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",264,184
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",1365,980
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",1066,789
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",1356,1001
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Norton House,"2114 Neil Avenue, Columbus, OH 43210",310,217
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",107,75
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",1018,752
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",866,639
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",1680,1248
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",1222,905
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",299,225
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",1190,883
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",1298,963
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",296,207
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",1052,779
